,USGS-01434000,USGS-01531000,USGS-04235500,USGS-04236500
1931-06-30,3819.3762683289606,1557.3699288668163,265.27221887385605,0.0
1931-07-31,6056.407149096961,961.6401102643201,149.059880460288,0.0
1931-08-31,1700.5965389291523,521.0299772928001,135.38284355635201,0.0
1931-09-30,1041.153815494656,326.49324120576006,68.866570911744,0.0
1931-10-31,861.7949091809281,141.86740142592004,55.38775193395201,0.0
1931-11-30,1146.0110984248322,196.20743003596803,47.99705497344001,0.0
1931-12-31,3131.5600646092803,1402.3351937756163,85.00717346918401,0.0
1932-01-31,7443.649463639041,3319.0742227415044,206.79793066137603,0.0
1932-02-29,6003.737814435841,2688.1182469785604,483.73669033113606,0.0
1932-03-31,4009.6654774272006,2504.4834968294404,317.71501876224005,0.0
1932-04-30,11805.576512670721,6536.944035763201,738.3900917329921,0.0
1932-05-31,4638.016303303681,4642.830167224321,389.13010586726404,0.0
1932-06-30,3764.4415859404808,459.38420226201606,135.07135824384002,0.0
1932-07-31,2190.02491542528,280.61994972672005,121.50758872627202,0.0
1932-08-31,1215.5006399616002,129.69115739136004,131.02204918118403,0.0
1932-09-30,803.1790367354881,82.68519204864002,93.70044537292802,0.0
1932-10-31,5213.301358666753,445.7637990512641,72.094691423232,0.0
1932-11-30,9758.834841000962,2514.1395415173124,91.15192917964802,0.0
1932-12-31,2824.0391106201605,698.4067043450881,100.92124125388801,0.0
1933-01-31,4470.663739944961,839.9343036119042,148.74839514777602,0.0
1933-02-28,3076.3422137548805,459.52578649497605,100.12836954931201,0.0
1933-03-31,7878.5962272921615,4913.0578342517765,273.31420330598405,0.0
1933-04-30,11980.29145614336,4983.198663260161,587.0082298521601,0.0
1933-05-31,3358.9443427430406,2752.9638256742405,224.26942500864004,0.0
1933-06-30,1710.1109993840644,895.3786892390401,142.12225304524802,0.0
